,Investors,Company Name,Company URL,Role,Sweet Spot,Range,Location,Categories
32,Mikhail Lobanov,Target Global,https://signal.nfx.com/firms/target-global,General Partner,$2.5M,($100K - $5.0M),Investors in Berlin (Germany),"Investors in FinTech (Seed), Investors in LegalTech (Seed), Investors in FinTech (Series A), Investors in LegalTech (Series A)"
33,Brett Calhoun,Scale VC,https://signal.nfx.com/firms/scale-vc,General Partner,$100K,($50K - $200K),Investors in United States,"Investors in ConstructionTech (Pre-seed), Investors in E-commerce (Pre-seed), Investors in Enterprise (Pre-seed), Investors in FinTech (Pre-seed), Investors in Insurance (Pre-seed), Investors in LegalTech (Pre-seed), Investors in Real Estate/PropTech (Pre-seed), Investors in Robotics (Pre-seed), Investors in SaaS (Pre-seed), Investors in SMB Software (Pre-seed), Investors in Midwest (Other Lists), Investors in Investors who were founders (Other Lists)"
34,Steve Singleton,Mountain Group Partners,https://signal.nfx.com/firms/mountain-group-partners,Managing Director,$1.5M,($100K - $5.0M),Investors in Nashville (TN),"Investors in BioTech (Seed), Investors in LegalTech (Seed), Investors in BioTech (Series A), Investors in LegalTech (Series A), Investors in BioTech (Series B), Investors in LegalTech (Series B)"
35,Robin Praeger,Versant Ventures,https://signal.nfx.com/firms/versant-ventures,Managing Director,$1.5M,($100K - $5.0M),"Investors in SF Bay Area (CA),","Investors in FinTech (Seed), Investors in Human Capital/HRTech (Seed), Investors in LegalTech (Seed), Investors in FinTech (Series A), Investors in Human Capital/HRTech (Series A), Investors in LegalTech (Series A), Investors in San Francisco Bay Area (Other Lists), Investors in San Francisco Bay Area (Other Lists), Investors in San Francisco Bay Area (Other Lists)"
36,Adi Toledano,TLV Partners,https://signal.nfx.com/firms/tlv-partners,General Partner,$8.0M,($4.0M - $20.0M),"Investors in Tel Aviv (Israel),","Investors in Consumer Internet (Seed), Investors in FinTech (Seed), Investors in LegalTech (Seed), Investors in Consumer Internet (Series A), Investors in FinTech (Series A), Investors in LegalTech (Series A), Investors in Consumer Internet (Series B), Investors in FinTech (Series B), Investors in LegalTech (Series B), Investors in Israel (Other Lists), Investors in Israel (Other Lists), Investors in Israel (Other Lists)"
37,Nat Clarkson,CFV Ventures,https://signal.nfx.com/firms/cfv-ventures,Managing Partner,$100K,($50K - $400K),Investors in Charlotte (NC),"Investors in AI (Pre-seed), Investors in Analytics (Pre-seed), Investors in Enterprise (Pre-seed), Investors in FinTech (Pre-seed), Investors in Insurance (Pre-seed), Investors in LegalTech (Pre-seed), Investors in Payments (Pre-seed), Investors in Real Estate/PropTech (Pre-seed), Investors in SaaS (Pre-seed), Investors in Web3/Blockchain (Pre-seed), Investors in AI (Seed), Investors in Analytics (Seed), Investors in Enterprise (Seed), Investors in FinTech (Seed), Investors in Insurance (Seed), Investors in LegalTech (Seed), Investors in Payments (Seed), Investors in Real Estate/PropTech (Seed), Investors in SaaS (Seed), Investors in Web3/Blockchain (Seed), Investors in AI (Series A), Investors in Analytics (Series A), Investors in Enterprise (Series A), Investors in FinTech (Series A), Investors in Insurance (Series A), Investors in LegalTech (Series A), Investors in Payments (Series A), Investors in Real Estate/PropTech (Series A), Investors in SaaS (Series A), Investors in Web3/Blockchain (Series A), Investors in Raleigh-Durham / Southeast US (Other Lists), Investors in Raleigh-Durham / Southeast US (Other Lists)"
38,Auke van den Hout,Graduate Entrepreneur,https://signal.nfx.com/firms/graduate-entrepreneur,Managing Partner,$1.5M,($100K - $5.0M),Investors in Amsterdam (Netherlands),"Investors in ClimateTech/CleanTech (Pre-seed), Investors in E-commerce (Pre-seed), Investors in LegalTech (Pre-seed), Investors in SaaS (Pre-seed), Investors in Wellness & Fitness (Pre-seed), Investors in ClimateTech/CleanTech (Seed), Investors in E-commerce (Seed), Investors in LegalTech (Seed), Investors in SaaS (Seed), Investors in Wellness & Fitness (Seed)"
39,Masha Bucher,Day One Ventures,https://signal.nfx.com/firms/day-one-ventures,General Partner,$1.5M,($500K - $5.0M),Investors in New York (NY),"Investors in Food and Beverage (Pre-seed), Investors in Human Capital/HRTech (Pre-seed), Investors in LegalTech (Pre-seed), Investors in Messaging (Pre-seed), Investors in Retail (Pre-seed), Investors in Web3/Blockchain (Pre-seed), Investors in Web3/Crypto (Pre-seed), Investors in Food and Beverage (Seed), Investors in Human Capital/HRTech (Seed), Investors in LegalTech (Seed), Investors in Messaging (Seed), Investors in Retail (Seed), Investors in Web3/Blockchain (Seed), Investors in Web3/Crypto (Seed), Investors in Food and Beverage (Series A), Investors in Human Capital/HRTech (Series A), Investors in LegalTech (Series A), Investors in Messaging (Series A), Investors in Retail (Series A), Investors in Web3/Blockchain (Series A), Investors in Web3/Crypto (Series A), Investors in Angel, Scout, and Solo-Capitalists (Other Lists), Investors in New York City (Other Lists), Investors in New York City (Other Lists)"
40,Adriaan Koch,Two Hop Ventures,https://signal.nfx.com/firms/two-hop-ventures,General Partner,$1.5M,($100K - $5.0M),Investors in Amsterdam (Netherlands),"Investors in FinTech (Seed), Investors in LegalTech (Seed), Investors in Web3/Crypto (Seed), Investors in FinTech (Series A), Investors in LegalTech (Series A), Investors in Web3/Crypto (Series A), Investors in FinTech (Series B), Investors in LegalTech (Series B), Investors in Web3/Crypto (Series B)"
41,Elena Walder-Schiavone,Übermorgen Ventures,https://signal.nfx.com/firms/ubermorgen-ventures,Managing Partner,$1.5M,($100K - $5.0M),Investors in Zurich (Switzerland),"Investors in LegalTech (Seed), Investors in LegalTech (Series A)"
42,Tre Baker,Techstars,https://signal.nfx.com/firms/techstars,Managing Director,$120K,($20K - $120K),Investors in United States,"Investors in AgTech (Pre-seed), Investors in AI (Pre-seed), Investors in FinTech (Pre-seed), Investors in Generative Tech/AI (Pre-seed), Investors in Health IT (Pre-seed), Investors in LegalTech (Pre-seed), Investors in Real Estate/PropTech (Pre-seed), Investors in SaaS (Pre-seed), Investors in SMB Software (Pre-seed), Investors in Web3/Blockchain (Pre-seed), Investors in AgTech (Seed), Investors in AI (Seed), Investors in FinTech (Seed), Investors in Generative Tech/AI (Seed), Investors in Health IT (Seed), Investors in LegalTech (Seed), Investors in Real Estate/PropTech (Seed), Investors in SaaS (Seed), Investors in SMB Software (Seed), Investors in Web3/Blockchain (Seed), Investors in Angel, Scout, and Solo-Capitalists (Other Lists), Investors in Austin (Other Lists), Investors in Diverse Investors (Other Lists), Investors in Investors who invested in diverse founders (Other Lists), Investors in Investors who invested in female founders (Other Lists), Investors in Investors who were founders (Other Lists)"
43,Chris Ryan,Crossbeam Venture Partners,https://signal.nfx.com/firms/crossbeam-venture-partners,General Partner,$1.5M,($500K - $3.0M),Investors in New York (NY),"Investors in Entertainment & Sports (Pre-seed), Investors in FinTech (Pre-seed), Investors in LegalTech (Pre-seed), Investors in Media/Content (Pre-seed), Investors in Entertainment & Sports (Seed), Investors in FinTech (Seed), Investors in LegalTech (Seed), Investors in Media/Content (Seed), Investors in Entertainment & Sports (Series A), Investors in FinTech (Series A), Investors in LegalTech (Series A), Investors in Media/Content (Series A), Investors in New York City (Other Lists), Investors in New York City (Other Lists)"
44,Anthony Bontrager,WestRiver Group,https://signal.nfx.com/firms/westriver-group,Managing Director,$1.5M,($100K - $5.0M),Investors in Seattle (WA),"Investors in Cloud Infrastructure (Seed), Investors in FinTech (Seed), Investors in LegalTech (Seed), Investors in Media/Content (Seed), Investors in Payments (Seed), Investors in SaaS (Seed), Investors in SMB Software (Seed), Investors in Cloud Infrastructure (Series A), Investors in FinTech (Series A), Investors in LegalTech (Series A), Investors in Media/Content (Series A), Investors in Payments (Series A), Investors in SaaS (Series A), Investors in SMB Software (Series A), Investors in Cloud Infrastructure (Series B), Investors in FinTech (Series B), Investors in LegalTech (Series B), Investors in Media/Content (Series B), Investors in Payments (Series B), Investors in SaaS (Series B), Investors in SMB Software (Series B), Investors in Seattle / Portland (Other Lists), Investors in Seattle / Portland (Other Lists)"
45,Dominique Bélanger,BDC Venture Capital,https://signal.nfx.com/firms/bdc-venture-capital,Managing Partner,$3.5M,($2.0M - $5.0M),Investors in Montreal,"Investors in FinTech (Pre-seed), Investors in Gaming/eSports (Pre-seed), Investors in LegalTech (Pre-seed), Investors in Media/Content (Pre-seed), Investors in FinTech (Seed), Investors in Gaming/eSports (Seed), Investors in LegalTech (Seed), Investors in Media/Content (Seed), Investors in FinTech (Series B), Investors in Gaming/eSports (Series B), Investors in LegalTech (Series B), Investors in Media/Content (Series B)"
46,William Cordeiro,SaaSholic Fund,https://signal.nfx.com/firms/saasholic-fund,Managing Partner,$300K,($150K - $500K),Investors in LatAm (Latin America),"Investors in Cloud Infrastructure (Pre-seed), Investors in Education (Pre-seed), Investors in Enterprise (Pre-seed), Investors in FinTech (Pre-seed), Investors in Food and Beverage (Pre-seed), Investors in LegalTech (Pre-seed), Investors in Payments (Pre-seed), Investors in SaaS (Pre-seed), Investors in Sales & CRM (Pre-seed), Investors in SMB Software (Pre-seed), Investors in Cloud Infrastructure (Seed), Investors in Education (Seed), Investors in Enterprise (Seed), Investors in FinTech (Seed), Investors in Food and Beverage (Seed), Investors in LegalTech (Seed), Investors in Payments (Seed), Investors in SaaS (Seed), Investors in Sales & CRM (Seed), Investors in SMB Software (Seed), Investors in Angel, Scout, and Solo-Capitalists (Other Lists), Investors in Diverse Investors (Other Lists), Investors in LatAm (Latin America) (Other Lists), Investors in Investors who invested in diverse founders (Other Lists), Investors in Investors who invested in female founders (Other Lists), Investors in Investors who were founders (Other Lists)"
47,Anton Vaisburd,SID Venture Partners,https://signal.nfx.com/firms/sid-venture-partners,General Partner,$1.5M,($100K - $5.0M),Investors in San Francisco (CA),"Investors in AI (Pre-seed), Investors in Analytics (Pre-seed), Investors in LegalTech (Pre-seed), Investors in AI (Seed), Investors in Analytics (Seed), Investors in LegalTech (Seed), Investors in AI (Series A), Investors in Analytics (Series A), Investors in LegalTech (Series A), Investors in San Francisco Bay Area (Other Lists), Investors in San Francisco Bay Area (Other Lists)"
48,Thomas Glocer,Angelic Ventures,https://signal.nfx.com/firms/angelic-ventures,Partner,$1.5M,($100K - $5.0M),Investors in New York (NY),"Investors in AI (Seed), Investors in Analytics (Seed), Investors in Data Services (Seed), Investors in E-commerce (Seed), Investors in FinTech (Seed), Investors in Gaming/eSports (Seed), Investors in LegalTech (Seed), Investors in SMB Software (Seed), Investors in Web3/Blockchain (Seed), Investors in Web3/Crypto (Seed), Investors in AI (Series A), Investors in Analytics (Series A), Investors in Data Services (Series A), Investors in E-commerce (Series A), Investors in FinTech (Series A), Investors in Gaming/eSports (Series A), Investors in LegalTech (Series A), Investors in SMB Software (Series A), Investors in Web3/Blockchain (Series A), Investors in Web3/Crypto (Series A), Investors in AI (Series B), Investors in Analytics (Series B), Investors in Data Services (Series B), Investors in E-commerce (Series B), Investors in FinTech (Series B), Investors in Gaming/eSports (Series B), Investors in LegalTech (Series B), Investors in SMB Software (Series B), Investors in Web3/Blockchain (Series B), Investors in Web3/Crypto (Series B), Investors in Angel, Scout, and Solo-Capitalists (Other Lists), Investors in New York City (Other Lists), Investors in New York City (Other Lists)"
49,Marcello Majonchi,42N Advisors,https://signal.nfx.com/firms/42n-advisors,Managing Partner,$50K,($25K - $500K),Investors in Italy,"Investors in AgTech (Pre-seed), Investors in AI (Pre-seed), Investors in Cloud Infrastructure (Pre-seed), Investors in DeepTech (Pre-seed), Investors in Enterprise Applications (Pre-seed), Investors in Future of Work (Pre-seed), Investors in Generative Tech/AI (Pre-seed), Investors in IoT (Pre-seed), Investors in LegalTech (Pre-seed), Investors in SaaS (Pre-seed), Investors in Seattle / Portland (Other Lists), Investors in Investors who invested in diverse founders (Other Lists), Investors in Investors who invested in female founders (Other Lists), Investors in Investors who were founders (Other Lists)"
50,Robert Walsh,QVentures,https://signal.nfx.com/firms/qventures,Managing Partner,$2.7M,($600K - $4.7M),Investors in London,"Investors in BioTech (Pre-seed), Investors in ClimateTech/CleanTech (Pre-seed), Investors in FinTech (Pre-seed), Investors in Food and Beverage (Pre-seed), Investors in LegalTech (Pre-seed), Investors in BioTech (Seed), Investors in ClimateTech/CleanTech (Seed), Investors in FinTech (Seed), Investors in Food and Beverage (Seed), Investors in LegalTech (Seed), Investors in BioTech (Series A), Investors in ClimateTech/CleanTech (Series A), Investors in FinTech (Series A), Investors in Food and Beverage (Series A), Investors in LegalTech (Series A), Investors in London (Other Lists), Investors in London (Other Lists)"
51,Alexandria Lafci,Hometeam Ventures,https://signal.nfx.com/firms/hometeam-ventures,Managing Partner,$3.0M,($100K - $10.0M),Investors in SF Bay Area (CA),"Investors in ConstructionTech (Seed), Investors in FinTech (Seed), Investors in Impact (Seed), Investors in Insurance (Seed), Investors in LegalTech (Seed), Investors in Real Estate/PropTech (Seed), Investors in ConstructionTech (Series A), Investors in FinTech (Series A), Investors in Impact (Series A), Investors in Insurance (Series A), Investors in LegalTech (Series A), Investors in Real Estate/PropTech (Series A), Investors in San Francisco Bay Area (Other Lists), Investors in San Francisco Bay Area (Other Lists)"
52,Daisuke Dan Nagayama,Arbor Ventures,https://signal.nfx.com/firms/arbor-ventures,Partner,$1.5M,($100K - $5.0M),Investors in Tokyo,"Investors in AI (Seed), Investors in Cybersecurity (Seed), Investors in FinTech (Seed), Investors in Insurance (Seed), Investors in LegalTech (Seed), Investors in Marketplaces (Seed), Investors in Payments (Seed), Investors in Web3/Blockchain (Seed), Investors in AI (Series A), Investors in Cybersecurity (Series A), Investors in FinTech (Series A), Investors in Insurance (Series A), Investors in LegalTech (Series A), Investors in Marketplaces (Series A), Investors in Payments (Series A), Investors in Web3/Blockchain (Series A)"
53,Howard Chao,Doon Capital,https://signal.nfx.com/firms/doon-capital,Principal,$1.5M,($100K - $5.0M),Investors in Menlo Park (CA),"Investors in AgTech (Seed), Investors in AutoTech (Seed), Investors in FinTech (Seed), Investors in Food and Beverage (Seed), Investors in LegalTech (Seed), Investors in TransportationTech (Seed), Investors in Web3/Crypto (Seed), Investors in AgTech (Series A), Investors in AutoTech (Series A), Investors in FinTech (Series A), Investors in Food and Beverage (Series A), Investors in LegalTech (Series A), Investors in TransportationTech (Series A), Investors in Web3/Crypto (Series A), Investors in San Francisco Bay Area (Other Lists), Investors in San Francisco Bay Area (Other Lists)"
54,Joel Stonedale,Trust Ventures,https://signal.nfx.com/firms/trust-ventures,Venture Partner,$1.5M,($100K - $5.0M),Investors in Austin (TX),"Investors in LegalTech (Seed), Investors in Pharmaceuticals (Seed), Investors in LegalTech (Series A), Investors in Pharmaceuticals (Series A), Investors in Austin (Other Lists), Investors in Austin (Other Lists)"
55,Jules Miller,Mindset Ventures,https://signal.nfx.com/firms/mindset-ventures,Partner,$1.5M,($100K - $5.0M),"Investors in New York (NY),","Investors in AI (Seed), Investors in Enterprise Applications (Seed), Investors in Enterprise (Seed), Investors in LegalTech (Seed), Investors in Web3/Blockchain (Seed), Investors in Web3/Crypto (Seed), Investors in AI (Series A), Investors in Enterprise Applications (Series A), Investors in Enterprise (Series A), Investors in LegalTech (Series A), Investors in Web3/Blockchain (Series A), Investors in Web3/Crypto (Series A), Investors in AI (Series B), Investors in Enterprise Applications (Series B), Investors in Enterprise (Series B), Investors in LegalTech (Series B), Investors in Web3/Blockchain (Series B), Investors in Web3/Crypto (Series B), Investors in Los Angeles / Southern California (Other Lists), Investors in New York City (Other Lists)"
56,Robert Buchanan,Ventac Partners,https://signal.nfx.com/firms/ventac-partners,Partner,$1.5M,($100K - $5.0M),Investors in Boston (MA),"Investors in BioTech (Seed), Investors in LegalTech (Seed), Investors in Pharmaceuticals (Seed), Investors in BioTech (Series A), Investors in LegalTech (Series A), Investors in Pharmaceuticals (Series A), Investors in Boston / New England (Other Lists), Investors in Boston / New England (Other Lists)"
57,Sean M. Banks,TTV Capital,https://signal.nfx.com/firms/ttv-capital,Partner,$1.5M,($100K - $5.0M),Investors in Atlanta (GA),"Investors in FinTech (Seed), Investors in LegalTech (Seed), Investors in FinTech (Series A), Investors in LegalTech (Series A), Investors in Raleigh-Durham / Southeast US (Other Lists), Investors in Raleigh-Durham / Southeast US (Other Lists)"
58,Robert Goldberg,Bridge Investments,https://signal.nfx.com/firms/bridge-investments,Principal,$1.5M,($100K - $5.0M),Investors in United States,"Investors in Consumer Health (Seed), Investors in Consumer Internet (Seed), Investors in FinTech (Seed), Investors in Food and Beverage (Seed), Investors in GovTech (Seed), Investors in LegalTech (Seed), Investors in Real Estate/PropTech (Seed), Investors in SaaS (Seed), Investors in Wellness & Fitness (Seed), Investors in Consumer Health (Series A), Investors in Consumer Internet (Series A), Investors in FinTech (Series A), Investors in Food and Beverage (Series A), Investors in GovTech (Series A), Investors in LegalTech (Series A), Investors in Real Estate/PropTech (Series A), Investors in SaaS (Series A), Investors in Wellness & Fitness (Series A), Investors in Consumer Health (Series B), Investors in Consumer Internet (Series B), Investors in FinTech (Series B), Investors in Food and Beverage (Series B), Investors in GovTech (Series B), Investors in LegalTech (Series B), Investors in Real Estate/PropTech (Series B), Investors in SaaS (Series B), Investors in Wellness & Fitness (Series B)"
59,Mike Suchsland,Bridge Investments,https://signal.nfx.com/firms/bridge-investments,Venture Partner,$1.5M,($100K - $5.0M),Investors in Illinois,"Investors in LegalTech (Seed), Investors in LegalTech (Series A), Investors in LegalTech (Series B)"
60,Jason Thomas,Bridge Investments,https://signal.nfx.com/firms/bridge-investments,Partner,$1.5M,($100K - $5.0M),Investors in Chicago (IL),"Investors in Consumer Health (Seed), Investors in Consumer Internet (Seed), Investors in FinTech (Seed), Investors in Food and Beverage (Seed), Investors in GovTech (Seed), Investors in LegalTech (Seed), Investors in Real Estate/PropTech (Seed), Investors in SaaS (Seed), Investors in Wellness & Fitness (Seed), Investors in Consumer Health (Series A), Investors in Consumer Internet (Series A), Investors in FinTech (Series A), Investors in Food and Beverage (Series A), Investors in GovTech (Series A), Investors in LegalTech (Series A), Investors in Real Estate/PropTech (Series A), Investors in SaaS (Series A), Investors in Wellness & Fitness (Series A), Investors in Consumer Health (Series B), Investors in Consumer Internet (Series B), Investors in FinTech (Series B), Investors in Food and Beverage (Series B), Investors in GovTech (Series B), Investors in LegalTech (Series B), Investors in Real Estate/PropTech (Series B), Investors in SaaS (Series B), Investors in Wellness & Fitness (Series B), Investors in Midwest (Other Lists), Investors in Midwest (Other Lists)"
61,Samuel Garcia,Amplo,https://signal.nfx.com/firms/amplo,Principal,$1.5M,($100K - $5.0M),Investors in Austin (TX),"Investors in LegalTech (Pre-seed), Investors in LegalTech (Seed), Investors in Austin (Other Lists), Investors in Austin (Other Lists)"
62,Rotem Shacham,Viola Ventures,https://signal.nfx.com/firms/viola-ventures,Principal,$3.0M,($1.5M - $8.0M),Investors in Israel,"Investors in LegalTech (Seed), Investors in Local Services (Seed), Investors in LegalTech (Series A), Investors in Local Services (Series A), Investors in Israel (Other Lists), Investors in Israel (Other Lists)"
63,Evelina Anttila,Wellstreet,https://signal.nfx.com/firms/wellstreet,Partner,$1.5M,($100K - $5.0M),Investors in Stockholm (Sweden),"Investors in AI (Seed), Investors in FinTech (Seed), Investors in LegalTech (Seed), Investors in AI (Series A), Investors in FinTech (Series A), Investors in LegalTech (Series A)"
64,"Sheryl Hunter, Esquire",Florida Funders,https://signal.nfx.com/firms/florida-funders,Partner,$18K,($15K - $20K),Investors in Tampa (FL),"Investors in Creator/Passion Economy (Seed), Investors in LegalTech (Seed), Investors in Creator/Passion Economy (Series A), Investors in LegalTech (Series A), Investors in Raleigh-Durham / Southeast US (Other Lists), Investors in Raleigh-Durham / Southeast US (Other Lists)"
65,Tariq Khan,Outrun Ventures,https://signal.nfx.com/firms/outrun-ventures,Partner,$1.5M,($100K - $5.0M),Investors in Switzerland,"Investors in FinTech (Seed), Investors in LegalTech (Seed), Investors in Web3/Crypto (Seed), Investors in FinTech (Series A), Investors in LegalTech (Series A), Investors in Web3/Crypto (Series A), Investors in Angel, Scout, and Solo-Capitalists (Other Lists)"
66,Tom Wilson,Seedcamp,https://signal.nfx.com/firms/seedcamp,Partner,$1.5M,($100K - $5.0M),"Investors in United Kingdom,","Investors in ClimateTech/CleanTech (Pre-seed), Investors in Consumer Internet (Pre-seed), Investors in Enterprise (Pre-seed), Investors in Health & Hospital Services (Pre-seed), Investors in Health IT (Pre-seed), Investors in LegalTech (Pre-seed), Investors in ClimateTech/CleanTech (Seed), Investors in Consumer Internet (Seed), Investors in Enterprise (Seed), Investors in Health & Hospital Services (Seed), Investors in Health IT (Seed), Investors in LegalTech (Seed), Investors in London (Other Lists), Investors in London (Other Lists)"
67,Lauren Epstein,StandUp Ventures,https://signal.nfx.com/firms/standup-ventures,Principal,$1M,($100K - $5.0M),Investors in Toronto (Ontario),"Investors in Digital Health (Pre-seed), Investors in Enterprise (Pre-seed), Investors in LegalTech (Pre-seed), Investors in Digital Health (Seed), Investors in Enterprise (Seed), Investors in LegalTech (Seed), Investors in Digital Health (Series A), Investors in Enterprise (Series A), Investors in LegalTech (Series A), Investors in British Columbia (Other Lists), Investors in British Columbia (Other Lists), Investors in Investors who invested in female founders (Other Lists)"
68,Chris Barnes,Atomico,https://signal.nfx.com/firms/atomico,Partner,$10.0M,($5.0M - $15.0M),"Investors in United Kingdom,","Investors in Consumer Internet (Seed), Investors in FinTech (Seed), Investors in Human Capital/HRTech (Seed), Investors in LegalTech (Seed), Investors in Consumer Internet (Series A), Investors in FinTech (Series A), Investors in Human Capital/HRTech (Series A), Investors in LegalTech (Series A), Investors in Consumer Internet (Series B), Investors in FinTech (Series B), Investors in Human Capital/HRTech (Series B), Investors in LegalTech (Series B), Investors in London (Other Lists), Investors in London (Other Lists)"
69,Gabe Karp,Lightbank,https://signal.nfx.com/firms/lightbank,Venture Partner,$1.5M,($100K - $5.0M),Investors in Detroit (MI),"Investors in Games (Seed), Investors in LegalTech (Seed), Investors in MarketingTech (Seed), Investors in Security (Seed), Investors in Social Commerce (Seed), Investors in Social Networks (Seed), Investors in TransportationTech (Seed), Investors in Games (Series A), Investors in LegalTech (Series A), Investors in MarketingTech (Series A), Investors in Security (Series A), Investors in Social Commerce (Series A), Investors in Social Networks (Series A), Investors in TransportationTech (Series A), Investors in Games (Series B), Investors in LegalTech (Series B), Investors in MarketingTech (Series B), Investors in Security (Series B), Investors in Social Commerce (Series B), Investors in Social Networks (Series B), Investors in TransportationTech (Series B), Investors in Midwest (Other Lists), Investors in Midwest (Other Lists)"
70,Signe Marie Sveinbjørnsson,Heartcore Capital,https://signal.nfx.com/firms/heartcore-capital,Partner,$1.5M,($50K - $5.0M),Investors in Denmark,"Investors in Consumer Internet (Seed), Investors in FinTech (Seed), Investors in Health IT (Seed), Investors in LegalTech (Seed), Investors in Retail (Seed), Investors in Consumer Internet (Series A), Investors in FinTech (Series A), Investors in Health IT (Series A), Investors in LegalTech (Series A), Investors in Retail (Series A), Investors in Consumer Internet (Series B), Investors in FinTech (Series B), Investors in Health IT (Series B), Investors in LegalTech (Series B), Investors in Retail (Series B)"
71,Brian Thomas,Resolute Ventures,https://signal.nfx.com/firms/resolute-ventures,Venture Partner,$1M,($250K - $2.0M),Investors in United States,"Investors in AI (Pre-seed), Investors in AR/VR (Pre-seed), Investors in ClimateTech/CleanTech (Pre-seed), Investors in Cloud Infrastructure (Pre-seed), Investors in Consumer Internet (Pre-seed), Investors in Enterprise (Pre-seed), Investors in LegalTech (Pre-seed), Investors in Marketplaces (Pre-seed), Investors in Real Estate/PropTech (Pre-seed), Investors in Web3/Crypto (Pre-seed), Investors in AI (Seed), Investors in AR/VR (Seed), Investors in ClimateTech/CleanTech (Seed), Investors in Cloud Infrastructure (Seed), Investors in Consumer Internet (Seed), Investors in Enterprise (Seed), Investors in LegalTech (Seed), Investors in Marketplaces (Seed), Investors in Real Estate/PropTech (Seed), Investors in Web3/Crypto (Seed), Investors in Angel, Scout, and Solo-Capitalists (Other Lists), Investors in Diverse Investors (Other Lists), Investors in Female Investors (Other Lists), Investors in Los Angeles / Southern California (Other Lists)"
72,Cyril Vermeulen,50 Partners,https://signal.nfx.com/firms/50-partners,Partner,$1.5M,($100K - $5.0M),Investors in Paris (France),"Investors in AI (Seed), Investors in Consumer Health (Seed), Investors in Consumer Internet (Seed), Investors in Games (Seed), Investors in Insurance (Seed), Investors in LegalTech (Seed), Investors in Real Estate/PropTech (Seed), Investors in Wellness & Fitness (Seed), Investors in AI (Series A), Investors in Consumer Health (Series A), Investors in Consumer Internet (Series A), Investors in Games (Series A), Investors in Insurance (Series A), Investors in LegalTech (Series A), Investors in Real Estate/PropTech (Series A), Investors in Wellness & Fitness (Series A)"
73,Ryan Morgan,Crossbeam Venture Partners,https://signal.nfx.com/firms/crossbeam-venture-partners,Partner,$1.5M,($500K - $3.0M),"Investors in Chile,","Investors in Consumer Internet (Pre-seed), Investors in E-commerce (Pre-seed), Investors in Enterprise Applications (Pre-seed), Investors in FinTech (Pre-seed), Investors in Future of Work (Pre-seed), Investors in LegalTech (Pre-seed), Investors in Marketplaces (Pre-seed), Investors in Payments (Pre-seed), Investors in SaaS (Pre-seed), Investors in Travel (Pre-seed), Investors in Consumer Internet (Seed), Investors in E-commerce (Seed), Investors in Enterprise Applications (Seed), Investors in FinTech (Seed), Investors in Future of Work (Seed), Investors in LegalTech (Seed), Investors in Marketplaces (Seed), Investors in Payments (Seed), Investors in SaaS (Seed), Investors in Travel (Seed), Investors in Consumer Internet (Series A), Investors in E-commerce (Series A), Investors in Enterprise Applications (Series A), Investors in FinTech (Series A), Investors in Future of Work (Series A), Investors in LegalTech (Series A), Investors in Marketplaces (Series A), Investors in Payments (Series A), Investors in SaaS (Series A), Investors in Travel (Series A), Investors in Angel, Scout, and Solo-Capitalists (Other Lists), Investors in Canada (Other Lists), Investors in LatAm (Latin America) (Other Lists), Investors in LatAm (Latin America) (Other Lists), Investors in LatAm (Latin America) (Other Lists), Investors in San Francisco Bay Area (Other Lists), Investors in Investors who invested in diverse founders (Other Lists), Investors in Investors who invested in female founders (Other Lists), Investors in Investors who were founders (Other Lists)"
74,Caleb Chill,OurCrowd,https://signal.nfx.com/firms/ourcrowd,Partner,$8.0M,($1M - $15.0M),Investors in Jerusalem (Israel),"Investors in LegalTech (Pre-seed), Investors in LegalTech (Seed), Investors in LegalTech (Series A), Investors in Israel (Other Lists), Investors in Israel (Other Lists)"
75,Ludolf Stavenga,Graduate Entrepreneur,https://signal.nfx.com/firms/graduate-entrepreneur,Partner,$1.5M,($100K - $5.0M),Investors in Amsterdam (Netherlands),"Investors in ClimateTech/CleanTech (Pre-seed), Investors in E-commerce (Pre-seed), Investors in LegalTech (Pre-seed), Investors in SaaS (Pre-seed), Investors in Wellness & Fitness (Pre-seed), Investors in ClimateTech/CleanTech (Seed), Investors in E-commerce (Seed), Investors in LegalTech (Seed), Investors in SaaS (Seed), Investors in Wellness & Fitness (Seed)"
76,Philipp Semmer,Earlybird Venture Capital,https://signal.nfx.com/firms/earlybird-venture-capital,Partner,$1.5M,($100K - $5.0M),Investors in Berlin (Germany),"Investors in Digital Health (Seed), Investors in FinTech (Seed), Investors in Health IT (Seed), Investors in LegalTech (Seed), Investors in Real Estate/PropTech (Seed), Investors in Web3/Blockchain (Seed), Investors in Web3/Crypto (Seed), Investors in Digital Health (Series A), Investors in FinTech (Series A), Investors in Health IT (Series A), Investors in LegalTech (Series A), Investors in Real Estate/PropTech (Series A), Investors in Web3/Blockchain (Series A), Investors in Web3/Crypto (Series A), Investors in Digital Health (Series B), Investors in FinTech (Series B), Investors in Health IT (Series B), Investors in LegalTech (Series B), Investors in Real Estate/PropTech (Series B), Investors in Web3/Blockchain (Series B), Investors in Web3/Crypto (Series B)"
